Mergi aproximativ 181.6 metri, apoi Inainte
Mergi aproximativ 3.4 metri, apoi Inainte
Mergi aproximativ 12.8 metri, apoi Inainte
Mergi aproximativ 83.7 metri, apoi Inainte
Mergi aproximativ 6.1 metri, apoi La stanga
Mergi aproximativ 47.6 metri, apoi La dreapta
Mergi aproximativ 22.4 metri, apoi Inainte
Mergi aproximativ 15.4 metri, apoi La stanga
Mergi aproximativ 8.9 metri, apoi La dreapta
Mergi aproximativ 6.7 metri, apoi La stanga
Mergi aproximativ 37.9 metri, apoi La dreapta
Mergi aproximativ 81.2 metri, apoi Inainte
Mergi aproximativ 111.0 metri, apoi La stanga
Mergi aproximativ 119.7 metri, apoi Inainte
Mergi aproximativ 88.3 metri, apoi La dreapta
Mergi aproximativ 18.0 metri, apoi La stanga
Mergi aproximativ 6.6 metri, apoi La dreapta
Mergi aproximativ 65.6 metri, apoi Inainte
Mergi aproximativ 109.0 metri, apoi La dreapta
Mergi aproximativ 18.4 metri, apoi La stanga
Mergi aproximativ 15.7 metri, apoi La dreapta
Mergi aproximativ 47.4 metri, apoi La stanga
Mergi aproximativ 5.8 metri, apoi La dreapta
